0	323.661
1	323.694
2	323.74
3	323.791
4	323.843
5	323.895
6	323.948
7	324.001
8	324.054
9	324.109
10	324.165
11	324.225
12	52.7
13	335.6
14	47.3
15	237.4
16	15.8
17	84.2
18	42.6
19	293.8
20	7.6
21	6.9
22	66.9
23	46.5
24	37.1
25	86.6
26	12.5
27	11.1
28	55.6
29	259.2
30	51.7
31	110.4
32	14.2
33	74.6
34	46.6
35	78.2
36	64.6
37	88.5
38	12.1
39	257
40	45
41	9.8
42	17.9
43	177.8
44	52.9
45	195.4
46	69.3
47	256.9
48	14.8
49	24.5
50	21.6
51	199.9
52	37.3
53	94.5
54	49.5
55	276.5
56	14.5
57	79.9
58	29.1
59	135.3
60	63.6
61	72.4
62	21.3
63	342
64	323.831
65	323.864
66	323.912
67	323.964
68	324.02
69	324.077
70	324.133
71	324.188
72	324.244
73	324.31
74	324.367
75	324.426
76	7.4
77	342.9
78	48.2
79	164.4
80	23.5
81	300.5
82	19.5
83	117.1
84	19.6
85	164.3
86	57.8
87	21.6
88	30.5
89	140.9
90	15.5
91	193.1
92	63.3
93	327.5
94	54.6
95	255.3
96	52.7
97	289.4
98	50.2
99	90.7
100	45.5
101	20.4
102	68.9
103	197.4
104	55.9
105	115
106	65.1
107	176.9
108	25.9
109	213.1
110	33.8
111	212.3
112	17
113	114.5
114	65.4
115	33
116	43.3
117	166.8
118	41.6
119	177.4
120	47.1
121	259.7
122	18.6
123	351.6
124	53.6
125	240.5
126	45.4
127	35.1
128	323.827
129	323.859
130	323.908
131	323.963
132	324.02
133	324.079
134	324.137
135	324.195
136	324.254
137	324.313
138	324.375
139	324.439
140	40.4
141	97.7
142	26.2
143	284.5
144	55.2
145	232.7
146	15.5
147	4
148	54.1
149	163.7
150	10.9
151	57.1
152	45
153	200.2
154	32.7
155	176.5
156	18.9
157	65.4
158	14.9
159	150.2
160	52.3
161	190
162	31.6
163	355.5
164	36.8
165	113
166	41.4
167	316.2
168	34.7
169	336.2
170	10.8
171	29.7
172	35.2
173	214
174	41.6
175	270.7
176	55.6
177	175.4
178	13.1
179	50.9
180	26.7
181	54.4
182	43.9
183	336.2
184	47.1
185	63
186	67.2
187	326.7
188	29.7
189	144.3
190	18.4
191	288.5
192	323.82
193	323.855
194	323.905
195	323.961
196	324.02
197	324.081
198	324.142
199	324.202
200	324.264
201	324.326
202	324.391
203	324.459
204	48.2
205	162.3
206	53.8
207	46.8
208	65.7
209	204.4
210	36.5
211	82.5
212	62.6
213	51
214	47.3
215	113
216	29.7
217	354.9
218	45.6
219	243
220	27.3
221	37.3
222	34.3
223	64.3
224	41.1
225	281.4
226	32.5
227	131.8
228	38.8
229	338.1
230	37
231	213.5
232	65.1
233	143.3
234	37.2
235	117.6
